@relation trainingData

@attribute text string
@attribute sentiment_class {positive,negative}

@data
'USERNAME  USERNAME  ...може, само мора да буде ,,шпански церемонијал,, да нам се ,,пријатељ,, не увреди......',positive
'USERNAME  ...последњу жену која је живела са мном сам буквално спасао ,,унесрећивања,, тако да је биографски......',positive
'USERNAME  ...ал` онда ја да будем Премијер, и ти да дођеш и да будемо пријатељи...и да се кезиш ко морон......',positive
'USERNAME  Југа гробар, завршио у Звезди, сад у Радничком, Шефик гробар, завршава у Звезди, Деки исто, сад тренер, Вујас наш води њих ',positive
'   најзад му је неко узвратио URL',positive
'USERNAME  USERNAME  Не знам стварно, не пратим те емисије ',positive
'USERNAME  њих двије су ми стварно као сестре,већ 9 година,а ове остале... ',positive
'Тинки Винки је мој добар другар и поручио бих му да се не зеза пуно.  USERNAME  USERNAME  USERNAME ',positive
'USERNAME  USERNAME  ...какве би ја тек макете правио насеља на Марсу...па онда свемирски бродови колоније...па били би шокови...',positive
'USERNAME  лелее 12ка од Србија и Босна како ништо! ',positive
'USERNAME  ...е, хвала ти Миодраже, сад ми је лакше...човек си.......',positive
'Сад га гледам уживо,а нема да одговори USERNAME  сумњив ми је USERNAME  много, а куне се да није Шутановац, као \"нисам образа ми\" ',positive
'USERNAME  ...па вода ми иде на уста...а можда те пали, можда је нека слама?.....',positive
'USERNAME  Да ли ја то слутим насиље овде?  ',positive
'USERNAME  ти си бре Миодраже ко ови што сликају храну...',positive
'USERNAME  може једна линијица,чисто ако се мали погуби ',positive
'Ма није USERNAME  господин USERNAME  Шуле.  Куне се да није,каже \"нисам части ми\".  Рекох части ти, ја сам 12 година чашћавао ',positive
'USERNAME  беаутифул еиес! ',positive
'Вероватно се томе USERNAME  није  USERNAME  надао.  Живот је чудо. ',positive
'USERNAME  нее, треба времена да се људи \"ослободе\" ',positive
'Некој за топено сиренце?  URL',positive
'USERNAME  USERNAME  Врло аргументовано! ',positive
'Свалила из дома ',positive
'USERNAME  ако их нема на лајни ти сачекај мало,сад ће у ДМ браћа моја Делије ',positive
'USERNAME  о носату Кејт је таква у филму  Бар у овој верзији Вајат Ерп',positive
'USERNAME  USERNAME  Немам ја више времена за чекања, све и да хоћу, Борисе, ',positive
'Савршено\nЈош да је у великој резолуцији... брутал \nФала URL',positive
'USERNAME  ...зајебао си ме Стајо, сад ћу и ја да гледам а мрско ми било да тражим даљински...',positive
'USERNAME  То је та прича.  Зна и USERNAME , причали смо о навијачкој свести и раније. ',positive
'Нова национална валута по ДС-у ће постати сендвичи са кавурмом  USERNAME  USERNAME ',positive
'Могу ли то они - ипак је виша математика поштено зарадити плату  USERNAME  USERNAME ',positive
'USERNAME  милашка ',positive
'USERNAME  Нисам сигуран, али није ни битно. Предуго се бавим овим да бих променио мишљење што се ове теме тиче, немогуће је. ',positive
'Батина је из раја изашла!  URL',positive
'USERNAME  Хвала што ме је неко ипак разумео. Не волим крађе. ',positive
'USERNAME  ањњњњ ^_^ скрос патриотски ',positive
'Крепим #фото на стену  #тюмень  URL',positive
'USERNAME  ...добра је риба Олгица нарочито кад стави наочаре, него много ради, упропасти је политика......',positive
'USERNAME  што је најјаче ја сам прек те епизоде и сазнао за случај ешерсове пекаре ',positive
'USERNAME  Е, насмеја ме, пријатељу...',positive
'USERNAME  увијек , а то и јеси, ништа додао ни одузео ...',positive
'USERNAME  ...ма јок, момак је само денди......',positive
'USERNAME  USERNAME  многу тврда вожња има ',positive
'Ако не била на утакмицава и после на прославата на плоштад, мала е за тебе. \nЕжења беа тоа, ежења  URL',positive
'Најтачнији опис  URL',positive
'Срећом па је моја комшиница ноћу у кафани!  URL',positive
'USERNAME  ...значи, што би наш народ рекао ,,јебо` му је кеву,,......',positive
'USERNAME  Мислим да знамо обојица да је Лале бивши још од дербија. ',positive
'USERNAME  како да не, оно импровизовано суђење у ком дајан учествује  али нису предвидјели, баратају они стварним случајевима стално ',positive
'USERNAME  ...друже, кад већ пратиш, јел Борко фино опаљен...мислим на тен......?...',positive
'Kod nas se, doduše, zvao Tata Brada \n\n45 година од објављивања Барбапапе #GoogleDoodle\nURL',positive
'USERNAME  USERNAME  USERNAME  USERNAME  Сад ћемо да рекламирамо USERNAME (КИСС), ал шта ће ова три бенда да кажу на то?',positive
'USERNAME  онда ћеш схватити на пиву, чим га организујемо ',positive
'USERNAME  па јел ће буде свадба? ',positive
'USERNAME  он ти једини сигуран за сваку владу! ',positive
'USERNAME  USERNAME  али замислите моју збуњеност- из ничега искаче онај твит и не отвара ми остатак конверзације ',positive
'USERNAME  аа сад видим читаву конверзацију, није хтјело малоприје да ми излиста све  хвала USERNAME  ',positive
'USERNAME  Арена,кај Тетекс  ',positive
'USERNAME  видиш сад зашто нисам материјал за вашу организацију ',positive
'USERNAME  ...а, извини...сад се мало осећам приглупо...ма, нема везе...',positive
'URL хаха јопет, али у моју одбрану нисам гледао са мапама као прави лудак ',positive
'USERNAME  Стварно, какве су му ово порције за причест   USERNAME ',positive
'USERNAME  USERNAME  ...јебига, кад нема јагњетине добар је и роштиљ...',positive
'слава Богу! ',positive
'USERNAME  It\'s my duty and pleasure млада госпођице да вам уљепшам дан ',positive
'USERNAME  Што дрвца?  USERNAME  USERNAME ',positive
'USERNAME  еуролинк, кај плоштад ',positive
'Како Саше Политико замишља анкета  URL via USERNAME ',positive
'USERNAME  USERNAME  USERNAME  USERNAME  Марка је Филиповић увео у први тим у сезони 01/02... А после њега смо имали Срећковића ',positive
'.USERNAME  увек је добро на време заштитити све своје производе/брендове/услуге да касније не боли глава. USERNAME  то вероватно има у виду ',positive
'Radiohead - From the Basement\nURL\n\nпушти и уживај ',positive
'.прослава и контра-матурска прослава на годишнина од матура на две различни дати, u decide?!? #wtf #протестирам ',positive
'USERNAME  сваки дан ,добар дан ',positive
'Врхунац мог комплимента жени је: Вечерас дивно изгледаш! Хајдемо негде у мрак! ',positive
'USERNAME  рекох ја, остарићу, зору преварити нећу  даан мала ',positive
'USERNAME  видим како му испада есцајг из падобрана! ',positive
'Сач доге   URL',positive
'USERNAME  На ничија земја, само која би била ничија земја ',positive
'USERNAME  али слика оштра, да се посечеш! ',positive
'Ех да је среће биило, ти би самном спаваала...  hahaha',positive
'USERNAME  ...то Животићу...нек види банда шта је теорија ,,крви и тла,,...',positive
'Ознака на WCто за контра протестанти: „KWC - Контра WC“',positive
'USERNAME  USERNAME  НИСАМ, ИМА ЛУЂИХ ОД МЕНЕ ',positive
'USERNAME  USERNAME  ...Величанствени, по сто марке да си то у ствари био ти......',positive
'USERNAME  Јес, ОК, донт тел енибоди.',positive
'USERNAME  USERNAME  реално, набавићемо и ми себи бомбе ',positive
'USERNAME  ...и не знаш да га зову Гиле Габор?...нема везе, зато доста знаш о Бугарима...то је много важније......',positive
'USERNAME  ...како, братко мили, то ниси чуо, во имја Оца и Сина и Свјатога Духа Амен......',positive
'USERNAME  ...већа је мистерија зашто Гилета Габора зову Гиле Оргазам......',positive
'USERNAME  .......јесте, Симо, баш је тако...или гласа за Кристијана, па после сере против свега и свачега.......',positive
'USERNAME  одлична епизода и прича, једна од мојих омиљених! Тројански рат због лепе Јелене на МаксБункеров начин! ',positive
'USERNAME  ...у Милана Ракића...дал` је могуће, па ја сам мислио да је то библиотека у ствари....',positive
'#LIKE i Saram Ti ZID.  (Y) — осећам се опуштено',positive
'USERNAME  USERNAME  Узда ',positive
'USERNAME  нету велика ',positive
'USERNAME  супер информација. Фала Сању ',positive
'USERNAME  пријаће и мами, а и бебани ',positive
'USERNAME  па и да хоћеш, без мапе се не би снашао! ',positive
'Нешто ме данас оће тај ритвит и фејв...\n\nПу,пу да вас не урекнем...\n\nЈош да ме крену мудролије...\n\n',positive
'USERNAME  USERNAME  Честиткава беше у стил на \'три гонга\' радио емисија на РадиоСкопје 1 програма од пред 100 години ама како и да е ',positive
'USERNAME  USERNAME  ма дочекаћемо и Мандушиће  ...ја познајем неке  ...није Његош имао боље окружење кад је писао ...',positive
'USERNAME  иби,  ишонмаяпсизми.?',positive
'USERNAME  прељепота ',positive
'USERNAME  љубоморен  USERNAME ',positive
'USERNAME  детс ријалити.... ',positive
'USERNAME  Детс мај поинт, егзекли!  ❤️',positive
'USERNAME  \nГвоздена реч сва поглавља отвара ',positive
'USERNAME  Ај вуд ду евритинг фор ју. ',positive
'USERNAME  Е па онда неко ко колико-толико може да види разлику објасни шта је шта и шта је књига, а шта гомила потрошене хартије. ',positive
'USERNAME  Добро, да не ширимо даље, ја сам рекао шта сам имао. А углавном не пишем дословно и буквално овде. ',positive
'USERNAME  па после нека оди нека крши глава.   Јунајтед бара 50 милиони',positive
'USERNAME  Не бих да расправљам о поређењу аутомобила и књига. Тиме се бавим прилично и не пишем напамет.  Написао сам шта мислим. ',positive
'Sony “звучналица“ или “сијалник“ \n\nURL URL',positive
'USERNAME  гушка да ти помине ',positive
'USERNAME  А шта очекивати од тебе кад ти је \"бот\" прво радно место? Ништа, наравно...Запитај се младићу ',positive
'USERNAME  с обзиром на све што се дешава, а што утиче на јавно мнјење, мислим да је добар резултат. замисли наш резултат ',positive
'USERNAME  то су обичне фекалије а зна се где оне заврше ',positive
'USERNAME  Није, није, само је порастао број људи који се скидају са бироа. ',positive
'USERNAME  на молитвен појадок ',positive
'USERNAME  жива вистина! ',positive
'USERNAME  ја не могу да прежалим свог shoei-а ',positive
'USERNAME  Срцето М.Стојановски да не е.. ',positive
'USERNAME  мора тако кад је врућина ',positive
'Тако је то у Србији!  URL',positive
'USERNAME  ми се зажалуе искрено, пуцај! ',positive
'USERNAME  Све је то у циљу промоције лепог Костајника. Историја, лепоте   USERNAME ',positive
'USERNAME  на паноу матураната од ученице мислио да је професорица ',positive
'Уживанција . Нисам био на кафици не памтим,уништише ме ове еуроинтеграције   URL',positive
'USERNAME  кој писне г**** стисне, #тризапозорчетирисад ! ',positive
'USERNAME  поезија би рекол ',positive
'USERNAME  значи сви смо ту, као некада.. ',positive
'USERNAME  Слажем се и ја да фали још једна социјалистичка револуција ',positive
'Сад само размишљам о томе где могу да одем са бициклом и где да га вежем, тј паркирам  никако то телепромптовање да уведу.',positive
'USERNAME  двете ај  не барам оштета',positive
'USERNAME  4. седење на промаја ',positive
'USERNAME  Ако ти је тако лакше да мислиш нема проблема...ове сезоне смо Бог а ви шеширџија...Мало шале, нема љутње...',positive
'USERNAME  А види га како их је окренуо, да не провалимо чиме се занима ',positive
'USERNAME  оћеш са мном ',positive
'USERNAME  Фала <3, од твоја уста до уши на комерцијална банка ',positive
'USERNAME  тоо пријатељу ',positive
'Потом литра ',positive
'USERNAME  Бинава од митинзиве ја собрале? ',positive
'USERNAME  па нема потреба  ',positive
'USERNAME  Шта од Чарапана да очекујеш сем да те куну ',positive
'USERNAME  у пензији сам од данас ',positive
'USERNAME  на заметку  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  URL',positive
'Протест-контрапротест, камп-контракамп уште остана оставка-контраоставка.  Just do it.',positive
'USERNAME  USERNAME   and Vice President and  Трајче  дрварчето ',positive
'Ааајјјјјдее  дообро утро нека ви ее... Туруруруруруу',positive
'USERNAME  одна из них - она сама ',positive
'Бонжур ',positive
'USERNAME  Видео сам давно када си га поставио, сада сам се подсетио  Мени се често дешава да ми овакви возачи буса \"блицају\" иза леђа.',positive
'Serçelerle börek kumpantası  (USERNAME  кафе клуб Бакарди in Кърджали) URL URL',positive
'Serçelerle börek kumpantası  (USERNAME  кафе клуб Бакарди in Кърджали) URL URL',positive
'USERNAME  Красаучег, брат! ',positive
'“USERNAME : Ewgenij Bitkin, Russian dance, 1905 (Е.Биткин, Хоровод) #PaintedDancers USERNAME  URL” ',positive
'чувак, не згуби мешти ',positive
'USERNAME  Рана хејтерка ',positive
'USERNAME  USERNAME  папелац ',positive
'Letras de Canciones Одноклассник  - Школа de traducción URL',positive
'USERNAME  луд јебе збуњеног ',positive
'USERNAME  Епа брат,вози си точак у природа. што мајка бараш у теретана ',positive
'USERNAME  друштво? ',positive
'Год назад  URL',positive
'USERNAME  На море с портретом Путина ',positive
'USERNAME  они и Русија 145 милиони округло  USERNAME ',positive
'Моментално над Скопје лета Боинг 747 на релација Тел Авив-Нју Јорк ',positive
'Весна по-истине красива  USERNAME  Moscow Botanical Garden of Academy of Sciences URL',positive
'USERNAME  мила јовович  и од тру детектив раст',positive
'USERNAME  Није иритантније од Ћеранићкине акцентације свог имена. ',positive
'USERNAME  Еве пак те гушкам во тој случај. ',positive
'Уз прелепу романсу, Понекад, желим вам пријатну ноћ. \nURL URL',positive
'USERNAME  најубаво ',positive
'USERNAME  Па зар то није исто ',positive
'USERNAME  и то два пута,машала  Обрни окрени-кажу највећа је то срећа ',positive
'USERNAME  Зар његов ћале није удбаш, а и он сам? ',positive
'USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  Слађе ми је овако... Да се зна ко је истрајнији : )))',positive
'USERNAME  Та да  А кренула је опако : )))',positive
'Највреднији људи из треће смене!Задужени за чистоћу нашег града.Поздрав од уредника,ноћне конзроле  URL',positive
'USERNAME  ама и: због таквог живота твог, моји се снови руше! ',positive
'Уз романсу, Дајте ми вино, желим вам пријатну ноћ. \n URL',positive
'USERNAME  ,,и мрзим лепоту твојуу, јер немаш срца, јер немаш душе\" стара цецина! ',positive
'USERNAME  па не зборев ни јас за хаштагот ',positive
'USERNAME  од гинеколог си боље, а од дј- зависи од кој ',positive
'USERNAME  иц Џулај, браво ',positive
'USERNAME  USERNAME  USERNAME  епа... чај од брусница ',positive
'USERNAME   поражен сам... понијела ме прича ',positive
'Уз романсу, Требам те, желим вам пријатну ноћ. \n URL',positive
'USERNAME  Честитам родила се на мој рођендан  Биће коврџава, насмејана и непослушна ',positive
'ај здраво лаку ноћ довиђења и пријатно ',positive
'USERNAME  не бе брат, седат јер им је прекипело ',positive
'USERNAME  Некако се сконцентрисах за озбиљан твит. ',positive
'USERNAME   па не мислим да би значајније утицало на избор хаљина/одијела, но то не значи да школа треба да дигне руке од пристојности',positive
'USERNAME  Срећан ти рођендан!!!  Уживај у свом дану!!! ',positive
'USERNAME  покрај Palace Pier или Hove ',positive
'You can never fool an engeneer,јер пола факс математика му бил ',positive
'USERNAME  чији, моје матуре?  гледајте, и суд слави нову годину, па знају доћи свакакви, али на суду су пристојни. зна се ред',positive
'USERNAME  пластична је чаша,не ломи се ',positive
'USERNAME  Сигурно јако се дотерала ',positive
'USERNAME  Знам, знам, али ово је друго ',positive
'Ајде потпишвајте. Некој петиција напрајл  #долувлада #ЗбогумНикола URL',positive
'Не брини, јак је и мој кунг фу.  USERNAME ',positive
'USERNAME  сеа Коце да зема почне да зема туристичка такса ',positive
'Јок, што?  USERNAME ',positive
'Девојке, не растрзајте политику туја по фб..\nРастрзајте тамо некоју баницу гладан сам ! ',positive
'USERNAME  Шести прст? ',positive
'Не једу они сендвиче , као ови дс ботови.  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME ',positive
'USERNAME  шта је бре ово??  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME ',positive
'USERNAME  видиш, сви профитирају од тога што ћу наплаћивати  капитализам у најбољем свјетлу ',positive
'USERNAME  USERNAME  еве ја замената за Де Геа  URL',positive
'Госпођа USERNAME  воли да твитује са USERNAME  , можда јој смета USERNAME   или јој се иде у USERNAME  ? Све то чита USERNAME  госпођо. ',positive
'USERNAME  не знам, али ја и кад причам овдје, не слушају ме... ем бесплатно, ем џаба ',positive
'USERNAME  SciFi. Иако, не знам, тој жанр ми стана најреален  USERNAME ',positive
'USERNAME  само ја будала радим ово про боно  ... ок, од сад наплаћујем!',positive
'USERNAME  стај бомба и рокни ја. ',positive
'USERNAME  \nСтај го стиви реј вон аватар, \nА не Хендрикс! ',positive
'USERNAME  Углавном, посвађали се, овај пуцао и збрисао, дечко рањен у руку и није животно угрожен. Укратко ',positive
'USERNAME  морее, два метра су висок, нуму ногу! ',positive
'USERNAME  ја сам одушевљен какви смо ми цареви... па попушимо све форе овог свијета! ',positive
'USERNAME  Најтврдокорни и тоа. ',positive
'USERNAME  уф јако машинчево инаку читав многу бара игрицава ',positive
'Чекам поноћ да видим ко ће ми први честитати рођендан ',positive
'USERNAME  појачај фотони и спушти ја колата бе ',positive
'USERNAME  јас така за време на распусти ',positive
'А ове приститутке, да то нису ове што тек треба да пристигну из Северне Осетилигаје, госпођо лепотице?   USERNAME  USERNAME ',positive
'USERNAME  USERNAME  USERNAME  Ждерење, како го викале ',positive
'И ви сте USERNAME  узели тај кредит?  Зато толико цвикате од Вучића, а овом \"веселом досетком\" тешите себе?   USERNAME ',positive
'USERNAME  нема везе, битно Цеца или Севе да ечат у позадина. ',positive
'USERNAME  Охо, не умри коњу до зелена трева, така велат стари ',positive
'USERNAME  а сконтај да постоји овај виц са хусом и хасом већ годинама. само да знамо правити постере, били бисмо признати трендсетери ',positive
'USERNAME  најверојатно ',positive
'USERNAME  но не и во Југославија , TLN Strajk Vlade URL',positive
'USERNAME  USERNAME  USERNAME \nПлах си, частан, Србин си православни, чове, како рекох\nС временом ће се покажеш у пунини ',positive
'USERNAME  Ањњњњњ ',positive
'USERNAME  што њихове(наше) изјаве не чини нетачним  само је упитно да ли знају да не знају (ових 90\% ',positive
'USERNAME  немој да уносиш подјеле међу твитераше  USERNAME  има валидну диплому',positive
'Написао сам \"haha \" на интернету иако мрзим да пишем било шта сем \"пхах\" када је смешно. Дођавола са свиђањем!',positive
'USERNAME  најзначајната причина заради која ти и јас не сме во политика  (ја би го заплескала) USERNAME ',positive
'USERNAME  Сотир Костов, колумнист во „Дневник“. Оптимист по природа, глуп по општество  Јово одличен. Рамадани исто.',positive
'USERNAME  на прилепски нека е ',positive
'USERNAME  Напомена: се чита на прилепски дијалект ',positive
'USERNAME  не, никој познат ',positive
'Полине Сандр ',positive
'USERNAME  Ма нисам га ни пратила него га стално неко ретвитује ',positive
'Да ли и USERNAME  послата смс порука гласи \"otisao na sisanje i satiranje u NS\"?   USERNAME  USERNAME  USERNAME  USERNAME ',positive
'Аутотвитер са командне линије ',positive
'USERNAME  Па то је ваљда добро? ',positive
'Шетња.  URL',positive
'Чича, љуљају ови по Хелму. Да им помогнемо па да то заљуљамо како треба? Шта мсилиш? Да љуљнемо један добар трескавац? ',positive
'USERNAME  USERNAME  USERNAME \nТеби хвала\nПријатељски\nЈбг. Православац си крштени у Христу Богу\nЈедном православан увек човек ',positive
'USERNAME  твитај се само политика не ',positive
'USERNAME  смеежење ',positive
'USERNAME  USERNAME  USERNAME  Толстојевског ',positive
'USERNAME  ...потпуно те разумем, мислим фрустрацију...свакодневно то кажем за женку од 6 месеци, која само мисли да је сви воле...',positive
'Прави се паметна, a од оловака користи само ону за обрве! \nБедак. ',positive
'Прави се паметна, a од оловака користи само ону за обрве! емотикон grin\nБедак. ',positive
'USERNAME  Тешке. ',positive
'Свиђа ми се видео URL Kratki live  корисника USERNAME ',positive
'USERNAME  сад сам га збунијо кујшијо ',positive
'USERNAME  бели лук, ракијица и воњ - жене би се отимале за такве само немају среће да их покупе колима ',positive
'USERNAME  кој кај сака нека оди бе ',positive
'USERNAME  аре лека тогава ',positive
'USERNAME  тај је радио и није чудо што се ознојио у пекари. Моји нападају ујутру и излазе из куће ',positive
'USERNAME  USERNAME  USERNAME \nРазумем словенски боље него преводилац ради, али нећу то\nЈедном ће већ неко превести на србски ',positive
'Има кошаркашица које могу да закуцају, али само USERNAME  зна да ОТКУЦА. ',positive
'USERNAME  ја покушах у бг, сад смирено чекам овдје ',positive
'Ћути , замисли USERNAME  кад дођу до семењења, на њихову област?  Каже комшија \"осеменили су нас за 12 година\"  USERNAME ',positive
'USERNAME  кажи а? Крс ',positive
'USERNAME  хвала, али знаш да не могу поклоне да прихватим  макар онај хенеси да платим!',positive
'мајице са овим натписом да радим... под условом да средим ауторска права са USERNAME    URL',positive
'USERNAME  овој USERNAME  е крив за се!  #СрцеЧоек',positive
'Се јави Влатко Дискреција - експерт  URL',positive
'USERNAME  овој надвор не се дефинираше ',positive
'USERNAME  USERNAME  Цк. Набљудувачка мисија ',positive
'\"Један Пирке је морао бити убивен, ако се само десет људи рани\" Киле робија бизгов. ',positive
'USERNAME  USERNAME   Такође(р). ',positive
'USERNAME  покриј ги пак ',positive
'USERNAME  само сељанки сликаат нозе у када ',positive
'USERNAME  USERNAME  Наравно да нису. Веруј да је то тема која  још није стварно \"обрађена\", али 140 карактера је ипак премало. ',positive
'Свиђа ми се видео URL Kratki live  корисника USERNAME ',positive
'USERNAME  то, а и рекао сам \"који мозак мораш да имаш или немаш\"  У сваком случају, жасу.',positive
'USERNAME  ама признај забавно е ',positive
'USERNAME Маридзана доћићеш макар још једном ',positive
'USERNAME  хвала бате,ценићу ово ',positive
'USERNAME  Др. Неша ће то да реши : ))))',positive
'USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  Победа је кад ретард бота типа USERNAME  натераш да те блокира ',positive
'USERNAME  заврши ',positive
'USERNAME   А шта би друго радио Вучићев кабинет,него да демантује све што му не одговара,кад год може. Има и кад не може. Не да Запад.',positive
'USERNAME  стави слика ',positive
'USERNAME  нисам паметан који је циљ али није поштено сигурно ',positive
'USERNAME  Слободно примени си ја... Не се лутам ',positive
'USERNAME  шојма ново во 2011та? ',positive
'Смајли без носа > смајли са носем\n\n > ',positive
'USERNAME  најубаво! ',positive
'USERNAME  убудуће наручи пуњач заједно са малином ',positive
'USERNAME  па ово је увреда за полу-свет ',positive
'USERNAME  на Орце Николов 50м после бензинската, а зошто не Менада на пример?.. Бруклински е во малце мејнстрим околина ',positive
'USERNAME  Данас све инстант и лако доступно. Ја поручивао из иностранства...па то чекање поштара, па та радост ',positive
'URL\nубајни ',positive
'USERNAME  зависи од кој аспект го гледаш ',positive
'USERNAME  чути барем знај да чита ',positive
'USERNAME  одличен пијалок ',positive
'USERNAME  ама после ракија  салатката од тебе USERNAME ',positive
'USERNAME  20ти Мај ',positive
'Свиђа ми се видео URL Ultra SkyWars #1 Ovaj moj igrac je lud  корисника USERNAME ',positive
'USERNAME  Леле ова ми текна прво кога пуштив ТВ. Цар! Нема појак опис. ',positive
'И ја сам против тог вербалног насиља. Заиста, логично. Дајте да постигнемо неки договор о осуди према вређању са свих страна?  USERNAME ',positive
'USERNAME  извини ама ме нападна пајак ',positive
'USERNAME  да ти буљи у компјутер ',positive
'USERNAME  Се договараме на пијачка во четврток. Уште да најдеме место. Пијачка бесплатна, тоа ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'USERNAME  ај не ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'USERNAME  неког ћелавог,набилданог са BMW-om ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'После ужина ',positive
'...значи ништа од намештења?...е јеби га, докторе, а баш сте се трудили...... URL',positive
'После ужина ',positive
