text,sentiment
Blackheads go away! Leave me alone! Go to someone else s face! ,positive
USERNAME I see.   X X X,positive
USERNAME USERNAME good to know  thanks ,positive
USERNAME USERNAME Is Larry the new Matt Foley !!  ,positive
From Chiyo-chan 755~With Haruppi and Mio URL,positive
Coz we need a break. With the Future Teacher s.  URL,positive
Getting a workout in before work! ,positive
USERNAME good morning  Patty. ,positive
If they finish in an hour  I ll stream then - if not  then later this evening ,positive
USERNAME . not about that . Those two idiots keep disappearing  I am used to it.. since morning i dont feel like typing  (update),positive
Life goals.  URL,positive
USERNAME that little hut in the background needs some work done ,positive
USERNAME One day we ll sing it together  I hope  USERNAME USERNAME #LIV #UEL #YNWA,positive
USERNAME I don t they get along with many    as long as you like what you do and make yourself laugh   who cares?  ,positive
USERNAME yeah ,positive
Otters have reached Salisbury! Wonderful news and proves the quality of the river water around here ... URL,positive
I ll be there..  URL,positive
Match Paramedic for USERNAME  for USERNAME !!! Lovely Day  URL,positive
I have the BEST TITA in the world. ingat sa pag uwi. ,positive
USERNAME Hola  we ae new Kibum aesthetic acc would you mind promoting us ~~ thank you ,positive
Whats poppin! Goodmorninngg (in my john legend voice) otw to the bakery our Saturday ritual ,positive
Also have to say  excellent venue for #KubeCon USERNAME #codenode  well done guys ,positive
Sizzling Summer Offer upto 30 Off + 40 off � Zivame  URL #DealzBasket #offers #onlineshopping #deals #dealoftheday�,positive
USERNAME Please read it  LOVE YOU VERY MUCH??  X8 URL,positive
TryingHard! Practice make perfect  USERNAME USERNAME URL,positive
Received a thank you from USERNAME. Glad I got the opportunity to help! Got another ?100+ to add yet too  URL,positive
I Love O+ USERNAME USERNAME supportive #ALDUaandarNiDudang #ALDENvasionIn6Days  URL,positive
Never too early to get her started on hockey  #hockeyproud URL,positive
100 free follows ^^ i can help you ,positive
Sure thing USERNAME sounds like a great plan  URL,positive
USERNAME thanks so much !URL. Please check out my website ,positive
USERNAME hey dude wanna wake up ,positive
GENIAL! ,positive
Take me anywhere as long as it�s far away from them ,positive
USERNAME haha 28yrs ago.. what were you like 7yrs old. ,positive
Thanks for sharing   URL,positive
#nowwatching The Martian  astronomy is ?,positive
USERNAME Thanks Demi  xx,positive
USERNAME struggle iz real joyce! ,positive
USERNAME nice too meet Reni  I need more shige fans to fangirl that awkward guy together URL,positive
Half hour run with Daryl  done   I just ran 2.39 mi USERNAME a 13 36   pace with Nike+. URL #nikeplus,positive
USERNAME good luck at #kca tonight i voted 4 u ,positive
USERNAME it will come soon.. Hence why she likes to use a staff ,positive
what a sunny day  feeling like.. URL,positive
USERNAME just call me dele for short then ,positive
I see Justin felt better & decided to go to the afterparty  that s good ,positive
USERNAME he killed me without his guitar and walking around the whole damn stage ,positive
Connie hopes everybody is enjoying their wheekends  #penkridge #cavies URL,positive
URL that make me happy  #WomenEmpowerment,positive
More crying jinwoo pics i can taunt em with ,positive
USERNAME u tagged the wrong acc?  Waiting For SULTAN Poster,positive
USERNAME it was only a joke  I m not really distraught. URL,positive
USERNAME Meeting several friends I haven t seen in a while. It will be a good one.  You?,positive
of course I d have strep throat the start of spring break ,positive
USERNAME no worries ,positive
doing revamps for $5 also edits and a sub bot  dm me  USERNAME,positive
Yipee Sunday na naman bukas thank you Lord ,positive
USERNAME ok. Thanks! ,positive
USERNAME Hopefully get to see you this time round!Let us know if you need a support act. Would be cool to play some shows with you. ,positive
USERNAME much for telling me and hopefully I ll be able to get some nearer the time ,positive
#AtTheAgeOf 4  I started playing Chess ,positive
it was xiumin! ,positive
Little fire-big news   Lot s of toxic and very odor causing smoke and airborne particles tho from the large... URL,positive
USERNAME USERNAME lol idk.. I think hes just being friendly with him. I wouldnt mind tbh ,positive
USERNAME haha.. sorry about those tweets.. ,positive
#???_???????_???????battery Low  ,positive
i bought so many body products like lotions i m excited ,positive
Are you a blogger? Can you write something about our blog? We are accepting submissions. Head to URL or PM me her ,positive
USERNAME 800 for 6 tyler p dms? he s 120 each ,positive
Safe flight  URL,positive
USERNAME congrats on 2k!!  <3 URL,positive
USERNAME Ap best ho. ,positive
Hi all! There are very few and I ve finished my book! Don t know whether it is good or it is garbage. As Yes of course I ll let you know ,positive
USERNAME also thanks for the cobalt code ,positive
embracing the no makeup look for work this morning  URL,positive
baby now that i found you i wont let you go .... ill build my world around you i need you so baby eventhough you dont need me no more ,positive
USERNAME No prob - can go up to park when you get here if you want to run him  or play games/chat. We re easy. ,positive
USERNAME Lots of people go through this  like my sister. Find what u enjoy doing  and see if u can expand on that. U got this  bro ,positive
I see you re back on your Lexapro   URL,positive
USERNAME im glad ya like it ,positive
Congratulations USERNAME you deserved all the subscribers! Keep doing what you do! I m always here watching!  URL,positive
USERNAME Hi Kerin  we ll put in a word with the buying team for you : ),positive
USERNAME aw you re welcome : ),positive
She s here. ,positive
USERNAME during the entire concert ,positive
pls quote tweet dont ruin this beautiful thread ,positive
USERNAME yeah got it  cheers ,positive
#RondevDrenthe #UCIWWT 20km and 2  Shame Phil is not here to make the calculation  ,positive
USERNAME THANBK YOU SO MUCH!!!!!!!!!! I LOVE YOUR ACC TOO ,positive
RIP my inner hipster xD. Had them there as 3D models. Well  that s gonna be a bat .,positive
USERNAME go first for 20? ,positive
USERNAME ...thx for thy FAV! . Q.Your Thoughts?,positive
Coming home for a few days! ,positive
USERNAME USERNAME people want to learn from you  even if you re crabby ,positive
USERNAME happy birthday!! ,positive
USERNAME USERNAME never mind I m off for the game on the 25th so not too long to wait. Have a great afternoon  X,positive
when u become lactose intolerant at 22  and fav food gets ripped outta ur life  feelsgoodman,positive
First time I witnessed the dots I thought! You should be an ic-train station to begin with .,positive
Aaj bus ke chhat pe baith ke aaya  it was so fun  #???_???????_???????,positive
Stats for the day have arrived. 1 new follower and NO unfollowers  via URL.,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
USERNAME USERNAME Now you may both ponder the irony of a meme video declaring the end of someone s memes. ,positive
USERNAME haha bless my sharp eyesight? you re most welcome  hope you created some nice memories today ?,positive
USERNAME welcm bck.. ,positive
USERNAME great!! Thanks ,positive
USERNAME USERNAME USERNAME true  and it makes me like it even more  #YANA,positive
Being an ELF isn t that hard but not easy too ,positive
USERNAME can t wait to see it ,positive
Cuddles.    ,positive
My love for Boojum!� URL URL,positive
USERNAME USERNAME omg sid! Thts soo sweet of u ,positive
USERNAME hush beautiful ,positive
You understand the meaning of generation gap wen some1 asks u for ur mailing address n u dont knw if they want ur postal address or email ,positive
USERNAME  Thx for following ,positive
Enjoy kak  �USERNAME: Looks delicious! Happy dinner ranahkopi cc USERNAME (still waiting for USERNAME ) URL�,positive
USERNAME really good to hear you re feeling good  I m all good thank you  got a little housework to do... then gaming ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
1 year 1 month and 12 days.. looking forward for many days months years to come.. ,positive
Just uploaded gambar sayur corel draw concert pdf  URL #ScribdDocs,positive
USERNAME I m loving the design.  The feature of the +gmt around the face is perfect  How much is it?,positive
USERNAME come here~ visit our pinned tweet ,positive
USERNAME it�s actually attached to the side of the house ,positive
You can always see games that I recommend in photos and videos!!! ,positive
USERNAME Awesome  you? Met Maddie and Tae about an hour ago ,positive
Good morning ,positive
USERNAME USERNAME cos of their social projects which I really liked ,positive
Coffee again ,positive
USERNAME Not even bad at TH8  URL,positive
Be online now   come check me out URL #erotic #sex URL,positive
USERNAME promis! ,positive
USERNAME I love it so much  and I didn t think it would be as popular as it is   love this show ,positive
ANYONE WANT TO GO TO THE USERNAME GAME TONIGHT? I m not yelling just getting your attention ,positive
USERNAME USERNAME I don t need you to drag me into this  Aunt Kayla.  I ll be there to wrestle whenever SCW books me. ,positive
USERNAME i miss you too ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
News reports say Shahbaz Taseer was rescued by Afghan Taliban but they deny rescuing him! Only Taseer can reveal the truth ,positive
USERNAME USERNAME for me (in my FDS team  (with Lizzie so all is not lost today (crossing fingers)),positive
I had the worst day today and I can t wait to sleep ,positive
yup it is  URL,positive
USERNAME belated happy birthday ,positive
USERNAME we re moving to Forest Hill ,positive
I got paid today so whoever wants to match or something feel free to roll by ,positive
USERNAME USERNAME USERNAME father and son ,positive
Swimming later ,positive
USERNAME Hi teacher! Found you on my tailor list  and your twitter account is 90 on Jadine! hehe I miss u teacher. ,positive
Hate when shit happens and ur whole family has to find out about it ,positive
USERNAME Happy weekend  John! ,positive
USERNAME  hi  i love the way you shake your body.so cute  a fan of yours ,positive
#adventures are always fun!  #waterfallgully #adelaidehills URL,positive
USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME Good morning everyone  #NursesTakeDC,positive
Night shift. Again.  #coag #makeup URL,positive
And I m done with the project. Thank you Lord! ,positive
Just paid to see how it works... Little to hot and I scorched my tounge  URL,positive
USERNAME Nice tweet ,positive
USERNAME you had to upload a picture  remember? ,positive
The ranting of the intellectually challenged can be entertaining.  USERNAME,positive
happy girl   happy girl ,positive
Counter Strike [1EP] Su luku : URL per USERNAME,positive
Trend #Halebforever today at these times!! Please everyone take part! URL,positive
USERNAME USERNAME welcome and thank you too ,positive
Thanks for the TL lovin  USERNAME ,positive
USERNAME sorry honey i can t reply u know naman di uso load love u always! cry cry and cry and be strong  ?? focus on ur goals!,positive
USERNAME open up a place here in Homestead ,positive
USERNAME Thank you for joining  too! ,positive
USERNAME Oh just my lame attempt at humour  seeing those funny pictures were posted of eye lasering. ,positive
USERNAME you guess the right all the time sir....,positive
... What exactly are we talking about  SeulRene?  URL,positive
New friendss ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
USERNAME Yeah  this place is full of perfect sceneries ,positive
USERNAME USERNAME ahh yes indeed  I ve just caught onto that! Thanks ,positive
Wallpaper for the Passport BlackBerry 10  URL,positive
USERNAME ALL AARD THE HYPE TRAIN CHOO CHOO ,positive
: Plant the seed of HONESTY so you can reap the fruit of TRUST ,positive
I ll just shut up. Not gonna ask anything  you should know.,positive
USERNAME Bless you ,positive
Most waited moment #GP8 is on 25th march  2016  ,positive
Fanzone today!! Cannot wait to see USERNAME cast members  with my girls USERNAME USERNAME ???,positive
USERNAME Great job (as always). And I the shin pads on the little fella ,positive
Excited for #IPWeek.  Wala bang immersion sa Calinog this time?,positive
USERNAME say hay dong..,positive
USERNAME USERNAME no problem at all mate   dropped a follow too ?,positive
You never know what you will find around the mountain. You might even find yourself.  USERNAME Mt.� URL,positive
USERNAME uso google images! ,positive
USERNAME That is worthy of you ,positive
So excited  Can t wait to see all my favourite fannibals again and be massive nerds together ^-^ URL,positive
hmm i just want to know ,positive
USERNAME yes dear m like how can he be so good n perfect god he always kill us by his simple looks ,positive
Thanks for following USERNAME ,positive
Best habit you can pick these days  brush your teeth using LEFT hand! (If you re right-handed person and vice versa).This feels good ,positive
USERNAME oh man yeah that s what they reminded me of. Just couldn t quite put my finger on it ,positive
USERNAME Thanks for reading. ,positive
USERNAME I try to stay away from junk and focus on vitamin A  K  calcium  magnesium  potassium  etc.. Trying to form better habits ,positive
I m home. ,positive
love thisxx     URL,positive
USERNAME let me help u  ,positive
USERNAME hahahahaha Brave your are ....Tigress Heart ...but aage se keep this in mind ,positive
USERNAME Nee ,positive
Happy Caturday   USERNAME,positive
USERNAME You will hide your face After 15th April That s my challenge  USERNAME,positive
Moonshadow  aka the eclipse dark spot from space  URL,positive
USERNAME You should ve eaten dinner w me instead ,positive
USERNAME oh okay  i was honestly worried when i first saw it i was like holy shit did michaewl get burnt again or something ahah,positive
I will tweet your message to 60 000+ followers URL,positive
USERNAME USERNAME All plumbing now in good working order ,positive
Guys  check out the 1st episode of  The Panel  here: URL w/ USERNAME USERNAME USERNAME <3 Super fun to shoot ,positive
is it obvious i love alec dearly??? ,positive
USERNAME we are only on the front end of #travel  get cozy ,positive
I ll buy you tomorrow  Jordan Eclipse.. URL,positive
USERNAME though I really love Med naman eversince ?? I just hope it loves me back ,positive
USERNAME thanks Chris! Hope you found it helpful ,positive
I love with your smile will always support you. There is no words to describe my love for you USERNAME??ilysm  follow me?x2 514,positive
USERNAME Did I ever? ,positive
USERNAME how tf do you know my name lol but thank you aha ,positive
LittleSis took me walkies!  #pleasedPBGV,positive
Hey USERNAME! We d surely tell our clients about you  Maybe you could dm us a menu to show them? Please and thank you! #IESEGsmm,positive
MikeAdler_ : Paris fashion week may be over but this is still Paris  I love mixing high Street with luxury� � URL),positive
USERNAME again u made me come online.. [ Waiting For SULTAN Poster ],positive
USERNAME okay but look what I was listening to just when you tweeted this  URL,positive
Don t get blown away . Sick-ish and sleepy  but could be worse.,positive
Interesting... uncommon blade worth almost a key. They both come from the Treasure of the forbidden lotus ,positive
From my session with Jill and Travis yesterday!  I ll be photographing their wedding in December  2016!   URL,positive
USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME There you Go  URL,positive
USERNAME That Snake is awesome man  keep it up! ,positive
Porsche is planning a hybrid version of the 911 URL pinging USERNAME ,positive
100k i less than a 2 week woow ! New release coming soon  URL,positive
Thankyou Siri Creationsfound in FB Before Baahubali pic)Craze kaa Baapp...!!!#Prabhas URL,positive
My son s teacher told me he was a hero yesterday went between 3 bullies and a boy!! Proud father!! ,positive
i won t tag but do it guys  URL,positive
Sliding on his luggage and strumming his guitar seem to be his packing tradition  URL,positive
We also sell heartbreak s story too..  after all it s business USERNAME #startupsaturday,positive
done  hope you guys enjoyed it ,positive
HELLO  URL,positive
#MMKDrive INSPIRING EPISODE AUT DREAMING  BELIEVING AMD SURVIVING. Starstruck! Cheret... ,positive
USERNAME Generally they send the book before the release date  for ex : I brougth with NGNL LN (22 march) and it s already shipped ,positive
USERNAME USERNAME base is  now 100 done ,positive
Snapchat - SelfieShots. Cute Snap  URL,positive
USERNAME dont know if you like that kind of music  i love it   Parov Stelar - The Sun,positive
USERNAME i m an SRKian if i had a problem with you i would have said it to you i never do a sly like that ,positive
Come take this quick Porn Survey and get some exclusive rewards for completely free  URL URL,positive
USERNAME  #Cataloguing team are awesome. Thanks for all the hard work guys. ,positive
miss me ? just mention / dm ,positive
If you leave a comment on a video on my channel you WILL get a reply from me! I promise! ,positive
USERNAME PS going to come to a yoga class next time I am in Ottawa!! ,positive
USERNAME You look great Lady Vert  and good morning!,positive
Hooked on American Football! ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
Congratulations  USERNAME  URL,positive
USERNAME yeah its a lovely compostion and has a great feel ,positive
I love with your smile will always support you. There is no words to describe my love for you USERNAME??ilysm  follow me?x2 513,positive
There are things so much biggerthan you and me.,positive
Snapchat - SelfieShots. #FreakyFriday Cute Selfshot  URL,positive
USERNAME USERNAME USERNAME USERNAME TY  it s my pleasure! Happy Saturday! ,positive
> -  real quick yes,positive
USERNAME only you would take a new born delivering. He looks adorable. Hope to see you up north soon ,positive
USERNAME the mind soft cell! Sound good ,positive
[CAP] #RyuJunYeol for Short Film Nowherea good movie  meski Oppa cuma tampil seiprit i love him in blue~ URL,positive
USERNAME it s not my top priority right now ,positive
USERNAME thank u for the follows! ,positive
Thanks for following USERNAME ,positive
USERNAME USERNAME USERNAME The last few shots were the best  imo  & looking back now I guess it was kinda  busy  but I still liked it ,positive
Fan Girl moment when USERNAME likes your tweet.  #MadeMyDay URL,positive
USERNAME more needs to be done! Fair play to people like you who are actually fighting the stigma  #Respect,positive
URCC today ,positive
USERNAME can i get verify? ,positive
USERNAME Okay it s yours. PM me to arrange collection ,positive
USERNAME USERNAME 2003 I think?   if you drive to mine Monday night for the cinema I could drive us there and back to mine?  Xx,positive
USERNAME USERNAME he has said over and over how he prefers small venues......its a hopeful thought but could be valid ,positive
USERNAME yes  I travel by BEST daily. ,positive
This is a free follow from  (Tweet me if you want this username),positive
USERNAME true ,positive
Hey  You should totally be my new fuck buddy URL,positive
USERNAME USERNAME all the best ,positive
USERNAME Sometimes i feel  follower-number is like caste/class system on twitter! The higher the number  the higher caste/class u are ,positive
USERNAME hi.  How are you????  ,positive
anyways today I m gonna retweet something to do with my infinite bias so ,positive
GmUp and ready to put in work #letsGo,positive
USERNAME red lips and kimball s cheeks ,positive
I love with your smile will always support you. There is no words to describe my love for you USERNAME??ilysm  follow me?x2 512,positive
USERNAME matches ur shiny face ,positive
Really love when you want to recover from a migraine but your flatmate wants to play heavy bass music for hours ,positive
USERNAME you were! But this is my new author account  and the other account you re following USERNAME is just 4 personal use ,positive
Up early to make a March Break breakfast treat for the boys. Happy Saturday everyone  URL,positive
USERNAME this is looking fantastic! ,positive
Enjoying Life atm  URL,positive
They save the starving dog  URL URL,positive
USERNAME USERNAME oh its not that early then  (call him using a very squee voice ^.^),positive
USERNAME just booking notts gig ticket ,positive
USERNAME thank you so much Anna!  you re such a sweet girl!,positive
USERNAME yes right! ,positive
MH-HI! We ve become friends through twttr and ask kaso when am I going to see you or meet you in person? Sana naman bago matapos tong sem ,positive
I m going to start my morning off right and get some chic ,positive
USERNAME  Have a good day!,positive
Tweet limit already? Dont worry  it wont last  just wait a couple of minutes #PIMFAustinMahone #ParadiseIMFFlash,positive
USERNAME  Yeah Anytime! ,positive
Pre wedding videos are so cute <3 I wish to  have one if i get married ,positive
USERNAME USERNAME Thank you ,positive
USERNAME USERNAME thank you Emma!  We will get there! D.,positive
ATTITUDE DETERMINES YOUR ALTITUDE...it starts young <3Dancers 3 years old performing at Miami Heat halftime ... URL,positive
Tweet limit already? Dont worry  it wont last  just wait a couple of minutes #PIMFAustinMahone #ParadiseIMFFlash,positive
Goodnight USERNAME,positive
USERNAME USERNAME  nope. .  im sorry . .  ,positive
USERNAME I was making a joke. It s gonna be  more complicated  than that ,positive
Friend s Original Artwork... check it out now...  URL via USERNAME,positive
Thank You Jesus for this day. ,positive
USERNAME Thanks for the favourite ,positive
USERNAME Please read it  LOVE YOU VERY MUCH??  X7,positive
USERNAME especially when added to USERNAME�s specialities. ,positive
USERNAME ay gets  hehe. no worries  you will be an owl for a better person ,positive
Watching Chef ,positive
USERNAME you reading this? ,positive
USERNAME I m sorry they re not quite the same but I m glad you like them ,positive
USERNAME that s so awesome of you! ,positive
 pendoio Very bright hats. Much win  #SXSW2016 #olark #pendosouth ,positive
Thanks a lot to B-Music Arena for sharing our cover video of  Hariye Jao   Cheers...\m/ URL,positive
Dear future  soon you ll be my priority  URL,positive
USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME Lovely picture of a beautiful bird. ,positive
USERNAME  partyy,positive
trade free followsi have 19 ,positive
USERNAME yes  velocity is very important as some bullets have higher muzzle velocity than others.  though all known paramaters,positive
USERNAME fair enough . I always got up kinda late unless I had to get up early,positive
USERNAME USERNAME not technically 3al ri7a more like 3al floating cannabis molecules in the air ,positive
yiiee haha < 3 happy one month to the both of you  better late then never haha ate naddie and kuya james  URL,positive
I love with your smile will always support you. There is no words to describe my love for you USERNAME??ilysm  follow me?x2 511,positive
USERNAME good morning! Solo how s your sleep? ,positive
USERNAME Google translater ,positive
USERNAME You re welcome. ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
USERNAME USERNAME good news ,positive
What a beautiful day to grab my skateboard ,positive
Started reading  The Toyota Kata   expect more quotes!  cc USERNAME  ,positive
Shoutout to USERNAME for modding my GTAV go check em out  URL,positive
USERNAME True! Both of them actually. ,positive
USERNAME USERNAME Haha it didnt take long ,positive
USERNAME exactly the reason i chose Picu over Nicu ,positive
USERNAME thank you for trying out Hiplay. Let me know if I can help with anything  -Aure,positive
USERNAME yes good lady  nobody has gone above 4 yet haha,positive
USERNAME it s going to be lovely today! I have a tank full of gas  I m thinking of getting lost today.  have a great weekend.  Xx,positive
I love this team so much  Congrats USERNAME . Hope you guys go a long way! URL,positive
Rendering part 2  URL,positive
Out of our 99 runners today  46 had new P - almost 50 - some kind of USERNAME record? Who knows? ,positive
USERNAME Please read it  LOVE YOU VERY MUCH??  X6 URL,positive
 fight me ishida ,positive
USERNAME   I got a bita trabble ,positive
USERNAME I cooked mine and it is ready to eat now ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
USERNAME Too late for me...off to sleep! ,positive
USERNAME That s me ,positive
USERNAME USERNAME USERNAME USERNAME yeah I d love to see you  text meh when your here!,positive
USERNAME Sorry we didn t make it - we ll be around later ,positive
USERNAME Bump for awesomeness! Everyone get on this! ,positive
USERNAME USERNAME you come come madam you come come ,positive
USERNAME I love the registration that Virgin comes up with on their planes. ,positive
Baby shower today ,positive
USERNAME really thank u 4supporting my remix of You Got The Love in you Miamication show!any mail where I can send u new stuff?,positive
USERNAME USERNAME Thankfully I do not have a Bristolian accent ,positive
and again  #IREvITA #6Nations,positive
Jack Johnson smile could light up the whole world please never let it fade away ,positive
InsyaAllah one fine day u will meet them    strong maii !!! I know what u feel!!!  URL,positive
Wearing my new glasses is like wearing magnifying glass Like camera it takes a little bit time  to focus on... URL,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
Stay with your love because if you lost it you cant get it back ,positive
Haha Simple as this ,positive
USERNAME LOL! Sounds like something I would do too! ,positive
USERNAME you surely mean the other way around USERNAME USERNAME USERNAME,positive
USERNAME USERNAME thank you both for sharing this ,positive
USERNAME haha all good! Looks awesome  will send you the video when it s done! ,positive
I see  I only know Irene  Seulgi  Wendy  and Joy though  USERNAME,positive
The DMs are funny.  This page is under -  NEW MANAGEMENT - we are not lowering ourselves to your standards.  ,positive
deep in thought in the newsroom  URL,positive
USERNAME USERNAME and you re back what a pleasure ,positive
don t want to see you get sad. V : ( I regret I watch that video ww  >_<,positive
Some old man ran a red light and just about killed me ,positive
Thanku guys?? love u all?? ,positive
